Setting;Sebastiaan;Niels;Average
default;0,0858;0,4888;0,3261
gain high(1.5);0,0834;0,486;0,3241
gain low(0.5);0,084;0,4935;0,3286
pause high(;0,1066;0,5061;0,3457
low pause;0,0575;0,4721;0,3058
high thresh;0,0012;0,0072;0,0049
low thresh;0,4377;0,6258;0,549
;;;
Average;0,122314286;0,439928571;0,312028571
;;;
No grammar;0,2313;0,265;0,2516
